scheme,label,oos_auc,n_signals,n_trades,fill_rate,win_rate_pct,ev_per_trade_pct,total_return_pct,max_dd_pct,sharpe,profit_factor
expanding,Expanding (all history),0.5749611701084045,0,0,0.0,,,,,,
long_2yr,2-Year Sliding,0.5621726395778774,830,35,0.04216867469879518,65.71428571428571,0.48324138732143823,16.365321855845206,-11.056128920802363,0.6122937766514748,1.5482772810075205
medium_1yr,1-Year Sliding,0.5522408330087489,2482,117,0.047139403706688156,61.53846153846154,0.4611634206669381,66.07530792149814,-15.245184533143446,1.203807935624417,1.7234913584621523
short_3mo,3-Month Sliding,0.529225230649961,16603,586,0.03529482623622237,57.33788395904437,0.13862033866631948,107.809340800027,-28.752635910252998,1.0890755370462093,1.2810098908437244
