entry_atr_mult,sl_atr_mult,tp_atr_mult,min_hold,max_hold,cooldown,min_sl,long_threshold,short_threshold,signal_threshold,ret,sharpe,maxdd,active_bars
0.0,1.5,3.0,12,48,3,0.01,0.6,0.4,0.1,0.7435660930150851,0.4769675985390825,-0.3058916724439154,16877
0.0,1.5,3.0,12,48,3,0.01,0.65,0.35,0.15,0.7435660930150851,0.4769675985390825,-0.3058916724439154,16877
0.0,1.5,3.0,12,48,3,0.01,0.55,0.45,0.05,0.7435660930150851,0.4769675985390825,-0.3058916724439154,16877
0.0,1.5,3.0,12,24,3,0.01,0.65,0.35,0.15,0.3119485276389671,0.22858272789166542,-0.42275014824348794,15863
0.0,1.5,3.0,12,24,3,0.01,0.55,0.45,0.05,0.3119485276389671,0.22858272789166542,-0.42275014824348794,15863
0.0,1.5,3.0,12,24,3,0.01,0.6,0.4,0.1,0.3119485276389671,0.22858272789166542,-0.42275014824348794,15863
0.0,1.5,3.0,4,48,3,0.01,0.6,0.4,0.1,0.24199462542668515,0.20530827031900795,-0.4249314621684143,16576
0.0,1.5,3.0,4,48,3,0.01,0.65,0.35,0.15,0.24199462542668515,0.20530827031900795,-0.4249314621684143,16576
0.0,1.5,3.0,4,48,3,0.01,0.55,0.45,0.05,0.24199462542668515,0.20530827031900795,-0.4249314621684143,16576
0.3,1.5,3.0,12,48,3,0.01,0.55,0.45,0.05,0.21470463660016725,0.16974876720258603,-0.42150525498883906,16877
0.3,1.5,3.0,12,48,3,0.01,0.6,0.4,0.1,0.21470463660016725,0.16974876720258603,-0.42150525498883906,16877
0.3,1.5,3.0,12,48,3,0.01,0.65,0.35,0.15,0.21470463660016725,0.16974876720258603,-0.42150525498883906,16877
0.0,1.5,2.0,12,48,3,0.01,0.55,0.45,0.05,0.10181380761460535,0.08199326823867156,-0.4205913986678138,16483
0.0,1.5,2.0,12,48,3,0.01,0.6,0.4,0.1,0.10181380761460535,0.08199326823867156,-0.4205913986678138,16483
0.0,1.5,2.0,12,48,3,0.01,0.65,0.35,0.15,0.10181380761460535,0.08199326823867156,-0.4205913986678138,16483
0.0,1.5,2.0,4,48,3,0.01,0.6,0.4,0.1,0.08540770158871047,0.08006614531673482,-0.46044569525195445,15850
0.0,1.5,2.0,4,48,3,0.01,0.65,0.35,0.15,0.08540770158871047,0.08006614531673482,-0.46044569525195445,15850
0.0,1.5,2.0,4,48,3,0.01,0.55,0.45,0.05,0.08540770158871047,0.08006614531673482,-0.46044569525195445,15850
0.6,1.5,3.0,12,48,3,0.01,0.55,0.45,0.05,0.08563094948256822,0.07205359857947245,-0.45254770397955135,16877
0.6,1.5,3.0,12,48,3,0.01,0.65,0.35,0.15,0.08563094948256822,0.07205359857947245,-0.45254770397955135,16877
0.6,1.5,3.0,12,48,3,0.01,0.6,0.4,0.1,0.08563094948256822,0.07205359857947245,-0.45254770397955135,16877
0.3,1.5,3.0,12,24,3,0.01,0.55,0.45,0.05,0.06539972176543762,0.05428676869078161,-0.48921392972537,15863
0.3,1.5,3.0,12,24,3,0.01,0.65,0.35,0.15,0.06539972176543762,0.05428676869078161,-0.48921392972537,15863
0.3,1.5,3.0,12,24,3,0.01,0.6,0.4,0.1,0.06539972176543762,0.05428676869078161,-0.48921392972537,15863
0.0,1.5,3.0,12,24,3,0.01,0.7,0.3,0.2,0.04695632227732638,0.04898321193957281,-0.37897204400156903,9204
0.6,1.5,3.0,12,24,3,0.01,0.55,0.45,0.05,0.014658603644271295,0.012512265095166656,-0.5157492171295028,15863
0.6,1.5,3.0,12,24,3,0.01,0.65,0.35,0.15,0.014658603644271295,0.012512265095166656,-0.5157492171295028,15863
0.6,1.5,3.0,12,24,3,0.01,0.6,0.4,0.1,0.014658603644271295,0.012512265095166656,-0.5157492171295028,15863
0.3,1.5,2.0,4,48,3,0.01,0.6,0.4,0.1,-0.004677799594554832,-0.004702999430332107,-0.47647685045033145,15850
0.3,1.5,2.0,4,48,3,0.01,0.55,0.45,0.05,-0.004677799594554832,-0.004702999430332107,-0.47647685045033145,15850
0.3,1.5,2.0,4,48,3,0.01,0.65,0.35,0.15,-0.004677799594554832,-0.004702999430332107,-0.47647685045033145,15850
0.3,1.5,3.0,4,48,3,0.01,0.65,0.35,0.15,-0.006840065016572083,-0.006627970862510507,-0.5185040132134482,16576
0.3,1.5,3.0,4,48,3,0.01,0.6,0.4,0.1,-0.006840065016572083,-0.006627970862510507,-0.5185040132134482,16576
0.3,1.5,3.0,4,48,3,0.01,0.55,0.45,0.05,-0.006840065016572083,-0.006627970862510507,-0.5185040132134482,16576
0.3,1.5,3.0,12,24,3,0.01,0.7,0.3,0.2,-0.0077262151107223564,-0.008395870912240774,-0.41403441953230147,9204
0.0,1.5,3.0,4,24,3,0.01,0.65,0.35,0.15,-0.03456089213301783,-0.03356751356922767,-0.44275505488827777,15379
0.0,1.5,3.0,4,24,3,0.01,0.6,0.4,0.1,-0.03456089213301783,-0.03356751356922767,-0.44275505488827777,15379
0.0,1.5,3.0,4,24,3,0.01,0.55,0.45,0.05,-0.03456089213301783,-0.03356751356922767,-0.44275505488827777,15379
0.3,1.5,2.0,12,48,3,0.01,0.65,0.35,0.15,-0.08505573854814774,-0.07627514972898036,-0.5266841452272034,16483
0.3,1.5,2.0,12,48,3,0.01,0.55,0.45,0.05,-0.08505573854814774,-0.07627514972898036,-0.5266841452272034,16483
0.3,1.5,2.0,12,48,3,0.01,0.6,0.4,0.1,-0.08505573854814774,-0.07627514972898036,-0.5266841452272034,16483
0.6,1.5,3.0,12,24,3,0.01,0.7,0.3,0.2,-0.06848031938763255,-0.07775252872849106,-0.3879519918019096,9204
0.3,1.5,2.0,12,24,3,0.01,0.65,0.35,0.15,-0.12179933671199761,-0.10995380970177634,-0.43515360710557344,15760
0.3,1.5,2.0,12,24,3,0.01,0.6,0.4,0.1,-0.12179933671199761,-0.10995380970177634,-0.43515360710557344,15760
0.3,1.5,2.0,12,24,3,0.01,0.55,0.45,0.05,-0.12179933671199761,-0.10995380970177634,-0.43515360710557344,15760
