open_time,lgbm,mamba,tcn,trend,dominance_rotation
2024-06-01 00:00:00,0.08121334022841672,0.28603665658144567,0.5871760663419955,0.012156973235619128,0.033416963612523144
2024-06-01 01:00:00,0.07412666558417388,0.2836745268527711,0.5980754222479135,0.01315929376481354,0.03096409155032796
2024-06-01 02:00:00,0.07618042342773472,0.28447208466307256,0.5932009036638869,0.0140405022306575,0.03210608601464826
2024-06-01 03:00:00,0.07989425896461531,0.3006628721345065,0.5720677168232563,0.013797474182622319,0.03357767789499957
2024-06-01 04:00:00,0.08068926652121894,0.30690770669236106,0.5657649274485123,0.012855638111954516,0.03378246122595329
2024-06-01 05:00:00,0.07650361064451287,0.28280774985360435,0.5949290095795559,0.013396603871711134,0.03236302605061566
2024-06-01 06:00:00,0.07017710689272696,0.2510655076821879,0.6346242788413125,0.013976397265733596,0.030156709318039165
2024-06-01 07:00:00,0.07381705222130967,0.2691414858858741,0.6129654321394427,0.014784594132249801,0.0292914356211239
2024-06-01 08:00:00,0.07148486448742754,0.25741118188703815,0.6283285342549232,0.015929747990801095,0.026845671379810105
2024-06-01 09:00:00,0.072444068173251,0.26221511746457976,0.6220512556314223,0.015440248354712607,0.027849310376034383
2024-06-01 10:00:00,0.0735471535148904,0.26777823995991623,0.6149425586652026,0.015127696957296873,0.028604350902693882
2024-06-01 11:00:00,0.07235171389124885,0.26184489343869477,0.621739115717435,0.014499385891359209,0.029564891061262127
2024-06-01 12:00:00,0.0683796091092978,0.2438440392739325,0.6458124805571152,0.0147061348502578,0.02725773620939674
2024-06-01 13:00:00,0.05972402143646456,0.20905190065309184,0.6916022372459014,0.013760170765063447,0.0258616698994788
2024-06-01 14:00:00,0.048332835281420475,0.1671083201699301,0.7492697890412512,0.011654685204862953,0.023634370302535235
2024-06-01 15:00:00,0.05264467724778781,0.18334575798032507,0.7275449000769455,0.012358967742245706,0.024105696952696053
2024-06-01 16:00:00,0.051678049825494156,0.184052611302572,0.7286398996431671,0.01117818292192344,0.024451256306843278
2024-06-01 17:00:00,0.04970928034116288,0.1714169526875524,0.7438437855106882,0.011046889545940151,0.023983091914656435
2024-06-01 18:00:00,0.04421706866643546,0.14989910763392186,0.7729382456945002,0.008167970998370608,0.02477760700677186
2024-06-01 19:00:00,0.04509065655776829,0.13189275084449426,0.7882090339342308,0.009271399700397616,0.02553615896310901
2024-06-01 20:00:00,0.045599210835215766,0.12425529659660581,0.7970988374174967,0.01120525725171843,0.021841397898963236
2024-06-01 21:00:00,0.04516004830799141,0.1330809264604114,0.7894220392125259,0.011597280312674004,0.020739705706397348
2024-06-01 22:00:00,0.04520628881087541,0.13231195339467394,0.7902303481813725,0.011781109981824531,0.020470299631253516
2024-06-01 23:00:00,0.04549978955852861,0.1268691933285392,0.7953608997951047,0.012160861567739423,0.02010925575008821
2024-06-02 00:00:00,0.046120034801873974,0.11278314225462871,0.8062031216960702,0.012213483220298485,0.0226802180271287
2024-06-02 01:00:00,0.045710979163787566,0.12156021215079264,0.7990526081765265,0.01128019914944271,0.02239600135945076
2024-06-02 02:00:00,0.04574557061757912,0.12165220196458418,0.7996572854745932,0.012287525068377972,0.020657416874865497
2024-06-02 03:00:00,0.045732173594977034,0.1216165749677556,0.7994230982826359,0.011846141157156632,0.0213820119974749
2024-06-02 04:00:00,0.04933045494553194,0.1212229539755126,0.7968357066112998,0.012639624373384553,0.01997126009427129
2024-06-02 05:00:00,0.05149833942832294,0.12099717328671494,0.7953515808018131,0.013169203195323664,0.01898370328782532
2024-06-02 06:00:00,0.07259989009155995,0.11826406023572246,0.7773859893208788,0.01782123952830205,0.013928820823536763
2024-06-02 07:00:00,0.06433561931353,0.11927767857814134,0.7840488139892058,0.016792945316636665,0.015544942802486278
2024-06-02 08:00:00,0.06465803649646389,0.11918250508118389,0.7834232093639131,0.01727417143770947,0.015462077620729731
2024-06-02 09:00:00,0.06835269003166977,0.11866476804717528,0.7800199648313929,0.018271247721015862,0.014691329368746094
2024-06-02 10:00:00,0.0681769414794169,0.11857844079354289,0.7794525092803437,0.019090313136193603,0.01470179531050276
2024-06-02 11:00:00,0.06309101529504849,0.11936909503515485,0.7846497224370811,0.016803126374217457,0.016087040858498294
2024-06-02 12:00:00,0.06319188201603797,0.11955993630070383,0.785904180686919,0.015508991107100066,0.015835009889239228
2024-06-02 13:00:00,0.06309130103058437,0.11936963565083804,0.784653276070001,0.014390812428969361,0.018494974819607112
2024-06-02 14:00:00,0.06309243837953885,0.1193717875311779,0.7846674210403628,0.01657167016623185,0.016296682882688585
2024-06-02 15:00:00,0.0632703670467642,0.11970843109109171,0.7868802825500261,0.019162948768137886,0.010977970543980193
2024-06-02 16:00:00,0.06322896734307686,0.11963010226501766,0.7863654031198039,0.02054200511132322,0.010233522160778346
2024-06-02 17:00:00,0.06558621874137305,0.11932403357562227,0.784353519624247,0.020567581775255486,0.010168646283502223
2024-06-02 18:00:00,0.06220975976299133,0.11945037713993079,0.7851840146752248,0.02261576400883759,0.010540084413015464
2024-06-02 19:00:00,0.05920693318263978,0.1197298391756886,0.7870210044649563,0.023290421840631133,0.01075180133608434
2024-06-02 20:00:00,0.0483936704390993,0.12063948991741277,0.7930004181632705,0.02640936960259713,0.01155705187762029
2024-06-02 21:00:00,0.04738433408394227,0.12096657534488252,0.7951504511328743,0.02685725873032982,0.009641380707971083
2024-06-02 22:00:00,0.04931023388960652,0.12072792915007885,0.7935817564011414,0.026767625764481384,0.009612454794691796
2024-06-02 23:00:00,0.04758736570729831,0.12083866984658771,0.7943096890101017,0.028049184307622148,0.009215091128390262
2024-06-03 00:00:00,0.04843055637326805,0.12078789050757474,0.7939759008193616,0.0273893975454965,0.009416254754299047
2024-06-03 01:00:00,0.052722232861874836,0.12046561483796839,0.791857483865372,0.024585800084120125,0.010368868350664688
2024-06-03 02:00:00,0.05208673193325142,0.120480363814874,0.791954433420295,0.025446735133872283,0.010031735697707296
2024-06-03 03:00:00,0.08076803994601543,0.11727658798897023,0.7708950309693869,0.012910674229457492,0.018149666866170044
2024-06-03 04:00:00,0.08073274021871489,0.11722533217568673,0.7705581107669313,0.012035871214528846,0.019447945624138138
2024-06-03 05:00:00,0.0807204678460676,0.11720751247879219,0.7704409764264382,0.011806832631043337,0.019824210617658655
2024-06-03 06:00:00,0.08087678082008563,0.11743448161489474,0.7719329142650571,0.01070254188665068,0.01905328141331193
2024-06-03 07:00:00,0.08091459661224942,0.11748939079778482,0.7722938491879638,0.010688824543151006,0.01861333885885094
2024-06-03 08:00:00,0.081248609135111,0.11797438274575056,0.7754818502132163,0.010899317822859297,0.014395840083062935
2024-06-03 09:00:00,0.08124345757552111,0.11796690259231452,0.775432680867368,0.01070372848512185,0.014653230479674416
2024-06-03 10:00:00,0.08497691845858898,0.1175029357353411,0.7723828842224577,0.010654435874619936,0.014482825708992212
2024-06-03 11:00:00,0.08731644349598104,0.11717503161620824,0.7702274697411148,0.010838645263716409,0.014442409882979504
2024-06-03 12:00:00,0.09685281434439962,0.11611790984025777,0.7632786836433609,0.00943847784577668,0.014312114326205033
2024-06-03 13:00:00,0.1048014687172839,0.11519630420847507,0.7572206867810928,0.008583018479794001,0.01419852181335414
2024-06-03 14:00:00,0.1082935844485416,0.11458682361756563,0.7532143836726792,0.008266560939248298,0.015638647321965293
2024-06-03 15:00:00,0.08485751012271714,0.10413990236161547,0.7900949788421464,0.008331395795169663,0.012576212878351374
2024-06-03 16:00:00,0.13436490158057868,0.1273579820336948,0.71073485609067,0.008459842074401504,0.019082418220655102
2024-06-03 17:00:00,0.09742766440002988,0.10627202360256545,0.7746531651508898,0.008220889891249502,0.013426256955265269
2024-06-03 18:00:00,0.09554302194832334,0.10421629571107252,0.779379257458709,0.008198809736737131,0.012662615145158177
2024-06-03 19:00:00,0.08958812064010183,0.09772081605162097,0.7931959131813974,0.00810929520037306,0.011385854926506801
2024-06-03 20:00:00,0.08053122770837662,0.0878417499225769,0.8141755407858946,0.007492071674256264,0.009959409908895617
2024-06-03 21:00:00,0.08052502102566604,0.0878349798051203,0.814112790851538,0.0069852159461326,0.010541992371543121
2024-06-03 22:00:00,0.0806773835089443,0.08800117356044433,0.8137012166438001,0.007076916475843222,0.010543309810968045
2024-06-03 23:00:00,0.08081703961381152,0.08815350746851949,0.8134269802837647,0.007382144695962444,0.01022032793794181
2024-06-04 00:00:00,0.08082928525021076,0.08816686474818398,0.8130972144943123,0.006724691768300774,0.011181943738992253
2024-06-04 01:00:00,0.08401543551349203,0.09164224967161279,0.8062061943034448,0.006638789776692369,0.011497330734758057
2024-06-04 02:00:00,0.07059648057871373,0.07121181912264235,0.8400159766250672,0.007566375109325415,0.010609348564251326
2024-06-04 03:00:00,0.06806547876790094,0.06750800469182489,0.8462414776820497,0.007834368867413639,0.01035066999081084
2024-06-04 04:00:00,0.06382173716335737,0.060371609248962566,0.8573675423263373,0.008698209197165385,0.009740902064177385
2024-06-04 05:00:00,0.06358399156754015,0.05931206213602049,0.858496740384743,0.009003065337750856,0.00960414057394554
2024-06-04 06:00:00,0.06506675471966282,0.06290898329197957,0.8537633864969223,0.008265439213581095,0.00999543627785417
2024-06-04 07:00:00,0.06289309186634194,0.058385644862986766,0.8600999618668375,0.009083227940581553,0.009538073463252347
2024-06-04 08:00:00,0.06396969091464502,0.06129751675713338,0.8564427323702113,0.008417239533198775,0.009872820424811522
2024-06-04 09:00:00,0.05840654982327404,0.05286807925592066,0.8700871673223649,0.009500155334392803,0.009138048264047646
2024-06-04 10:00:00,0.054999695719129035,0.045301047806802185,0.8813356536691149,0.009290424793700779,0.009073178011253121
2024-06-04 11:00:00,0.05946099016170826,0.05108967063658173,0.8712955836106567,0.008506435544038063,0.009647320047015283
2024-06-04 12:00:00,0.07700605695097566,0.09315351066713073,0.8110333865636069,0.008448300044315325,0.010358745773971334
2024-06-04 13:00:00,0.07343996906065872,0.07896587933989056,0.8289342615119707,0.007977287174646307,0.010682602912833641
