,chop,bull,bear
lgbm,0.3937615819996987,0.5936280563937626,0.0
mamba,0.0,0.0,0.21851974366252852
tcn,0.48039225317206813,0.32729424880064506,0.206466689358018
patch,0.0,0.0,0.4211010089682229
trend,0.10329887690762858,0.0,0.15391255801123052
volbreak,0.02254728792060447,0.0790776948055924,0.0
