name,ret,sharpe,sortino,maxdd,alpha
Final MAS fund (capped inverse-vol),0.48066704475945765,1.9007906713295173,2.4829020185101593,-0.053083472519781606,0.3250736781950323
Naive EW fund,0.5383164983415176,1.7606272120688653,2.2637109899791144,-0.051597810106410916,0.3827231317770923
lgbm,0.897022600954156,1.5172468830120898,0.8467259947510181,-0.12871785419639817,0.7414292343897306
patch,0.6803758510174389,1.50724633813159,0.8807669064960735,-0.17331616543589096,0.5247824844530136
S&P 500 Buy & Hold,0.43572681577538175,1.1055099372654311,0.23442292467496104,-0.18755246925475097,0.2801334492109564
dominance_rotation,1.5393407586867927,1.0951028407377221,1.3152817030719932,-0.26440344465692345,1.3837473921223673
Coordinator ablation (Sharpe x regime),0.27182426403139015,0.5600659931616715,0.6807958108863896,-0.21438241240535655,0.1162308974669648
trend,0.5653856192392677,0.5472588758974197,0.6668424295919432,-0.2862846453778247,0.4097922526748423
mamba,0.33591722609693564,0.5446454226818417,0.47714803458264893,-0.38516827710529766,0.1803238595325103
volbreak,0.28672622920461843,0.3799183892654198,0.37455998958111236,-0.2365693063854395,0.13113286264019308
BTC Buy & Hold,0.1555933665644098,0.15740981796119102,0.2018746150282065,-0.500837940284168,-1.554312234475219e-14
tcn,0.041577683155180845,0.07250535167157511,0.06625546460077442,-0.22796055671845786,-0.1140156834092445
