entry_atr_mult,sl_atr_mult,tp_atr_mult,min_hold,max_hold,cooldown,long_threshold,short_threshold,trade_direction,long_signal_threshold,short_signal_threshold,score,sharpe,total_ret,maxdd,win_rate,n_trades,n_long,n_short,short_ratio
0.9,1.0,3.0,18,48,3,0.58,0.53,short_only,0.08,0.03,0.971443214076733,0.9214432140767329,0.2095905064896968,-0.07613138303488708,0.45,40,0,40,1.0
0.9,1.0,3.0,18,48,3,0.6,0.53,short_only,0.1,0.03,0.971443214076733,0.9214432140767329,0.2095905064896968,-0.07613138303488708,0.45,40,0,40,1.0
0.9,1.0,3.0,18,48,3,0.63,0.53,short_only,0.13,0.03,0.971443214076733,0.9214432140767329,0.2095905064896968,-0.07613138303488708,0.45,40,0,40,1.0
0.9,1.0,3.0,18,48,3,0.65,0.53,short_only,0.15,0.03,0.971443214076733,0.9214432140767329,0.2095905064896968,-0.07613138303488708,0.45,40,0,40,1.0
0.3,1.0,3.0,18,48,3,0.58,0.53,short_only,0.08,0.03,0.9333525915009948,0.8833525915009948,0.20179038669183336,-0.07613138303488559,0.425,40,0,40,1.0
0.3,1.0,3.0,18,48,3,0.6,0.53,short_only,0.1,0.03,0.9333525915009948,0.8833525915009948,0.20179038669183336,-0.07613138303488559,0.425,40,0,40,1.0
0.3,1.0,3.0,18,48,3,0.63,0.53,short_only,0.13,0.03,0.9333525915009948,0.8833525915009948,0.20179038669183336,-0.07613138303488559,0.425,40,0,40,1.0
0.3,1.0,3.0,18,48,3,0.65,0.53,short_only,0.15,0.03,0.9333525915009948,0.8833525915009948,0.20179038669183336,-0.07613138303488559,0.425,40,0,40,1.0
0.6,1.0,3.0,18,48,3,0.58,0.53,short_only,0.08,0.03,0.9128742601059873,0.8628742601059872,0.1951078247145075,-0.07613138303488658,0.45,40,0,40,1.0
0.6,1.0,3.0,18,48,3,0.6,0.53,short_only,0.1,0.03,0.9128742601059873,0.8628742601059872,0.1951078247145075,-0.07613138303488658,0.45,40,0,40,1.0
0.6,1.0,3.0,18,48,3,0.63,0.53,short_only,0.13,0.03,0.9128742601059873,0.8628742601059872,0.1951078247145075,-0.07613138303488658,0.45,40,0,40,1.0
0.6,1.0,3.0,18,48,3,0.65,0.53,short_only,0.15,0.03,0.9128742601059873,0.8628742601059872,0.1951078247145075,-0.07613138303488658,0.45,40,0,40,1.0
0.9,1.0,2.5,18,48,3,0.58,0.53,short_only,0.08,0.03,0.8856020173932169,0.8356020173932168,0.18444986876705904,-0.07613138303488659,0.43902439024390244,41,0,41,1.0
0.9,1.0,2.5,18,48,3,0.6,0.53,short_only,0.1,0.03,0.8856020173932169,0.8356020173932168,0.18444986876705904,-0.07613138303488659,0.43902439024390244,41,0,41,1.0
0.9,1.0,2.5,18,48,3,0.63,0.53,short_only,0.13,0.03,0.8856020173932169,0.8356020173932168,0.18444986876705904,-0.07613138303488659,0.43902439024390244,41,0,41,1.0
