lag_h,ret,sharpe,maxdd,trades,exposure
0,0.3643269200802066,0.5759349015738346,-0.20718579156344405,456,0.34098173515981733
1,0.10142261147490661,0.182269726824829,-0.24401774765841033,451,0.3478881278538813
2,0.05618881499930328,0.10114519218812379,-0.29189602528228825,453,0.348972602739726
6,0.009823181967819172,0.019104160400139132,-0.3523796400598714,465,0.35371004566210046
24,0.22869004813967808,0.37472235235503365,-0.19218369996565532,454,0.34571917808219177
