entry_atr_mult,sl_atr_mult,tp_atr_mult,min_hold,max_hold,cooldown,trade_direction,long_threshold,short_threshold,ret,sharpe,sortino,maxdd,n_trades,n_long,n_short,win_rate,median_net,baseline,baseline_ret,baseline_sharpe,skill_ret_delta,skill_sharpe_delta,baseline_trades,baseline_exposure
0.3,1.0,2.0,6,24,6,long_only,0.6,0.4,1.1271328506838016,2.452260095250062,2.300489413923309,-0.1643722633058406,324,324,0,0.47530864197530864,-0.0016537695895949387,always_long,-0.07115378091542979,-0.22272141268850487,1.1982866315992315,2.6749815079385666,395,0.6409380692167578
0.3,1.5,1.0,6,48,3,short_only,0.72,0.28,-0.1792916159973973,-0.6841453950739158,-0.6233691989196352,-0.313635944602305,282,0,282,0.5673758865248227,0.0049794184637829645,always_short,-0.7107857590067854,-3.271086793077647,0.5314941430093881,2.5869413980037312,428,0.756716757741348
0.0,2.0,2.5,6,24,2,short_only,0.76,0.24,0.03330815483769056,0.10574427497585509,0.10515039561476701,-0.32388630308318717,248,0,248,0.46774193548387094,-0.0009441153761297044,always_short,-0.6413275383381569,-2.4634004503605818,0.6746356931758475,2.569144725336437,397,0.8194444444444444
0.0,1.0,2.0,6,24,6,long_only,0.76,0.24,1.2761938415257457,2.8554408101103244,2.4688922583654946,-0.12629384985742223,263,263,0,0.5133079847908745,0.0011079514766445852,always_long,0.1164050761194253,0.32505157391893713,1.1597887654063204,2.5303892361913873,395,0.6409380692167578
0.0,1.0,2.0,6,24,6,long_only,0.65,0.35,1.3021586689462805,2.822884114324746,2.763703094522698,-0.1643739397056915,310,310,0,0.4838709677419355,-0.0010635207764206503,always_long,0.1164050761194253,0.32505157391893713,1.1857535928268552,2.497832540405809,395,0.6409380692167578
0.0,1.0,2.0,6,24,6,long_only,0.6,0.4,1.409173154836183,2.81338963042316,2.663488971101494,-0.1566109736055647,324,324,0,0.4845679012345679,-0.0010545362664914008,always_long,0.1164050761194253,0.32505157391893713,1.2927680787167577,2.488338056504223,395,0.6409380692167578
0.0,1.0,2.0,6,24,6,long_only,0.63,0.37,1.2834016155629473,2.798459530415596,2.732845365134888,-0.14766141849981293,314,314,0,0.4840764331210191,-0.0011460391214848373,always_long,0.1164050761194253,0.32505157391893713,1.166996539443522,2.473407956496659,395,0.6409380692167578
0.3,1.5,1.0,6,72,3,short_only,0.72,0.28,-0.20026889960580363,-0.7721228038371868,-0.7099841981130505,-0.33568579712848673,269,0,269,0.5799256505576208,0.005278229840123631,always_short,-0.7042990335462748,-3.219874480039916,0.5040301339404711,2.4477516762027296,415,0.7641165755919854
0.3,1.5,1.0,6,48,3,short_only,0.76,0.24,-0.20956559713865897,-0.8362084855097667,-0.7318367551072593,-0.343427086017509,266,0,266,0.5601503759398496,0.005258957412637369,always_short,-0.7107857590067854,-3.271086793077647,0.5012201618681265,2.4348783075678804,428,0.756716757741348
0.0,2.0,1.5,6,24,2,short_only,0.76,0.24,-0.2294767294374883,-0.8564333354453143,-0.8001458519251013,-0.3096767107125232,269,0,269,0.49814126394052044,-4.790909859168463e-06,always_short,-0.7372609365509508,-3.2813635554861422,0.5077842071134625,2.424930220040828,435,0.8021402550091075
0.6,1.0,1.0,6,48,6,long_only,0.76,0.24,0.29047879002619204,0.9856486438553798,0.7344818330327114,-0.1456407811936775,276,276,0,0.5652173913043478,0.004522810644846087,always_long,-0.39020856633949474,-1.4358428325077273,0.6806873563656868,2.421491476363107,426,0.6127049180327869
0.3,1.0,2.0,6,24,6,long_only,0.65,0.35,0.8846881892366869,2.195659322656988,2.1143044305807157,-0.18336653350386892,310,310,0,0.47419354838709676,-0.001644438905821406,always_long,-0.07115378091542979,-0.22272141268850487,0.9558419701521167,2.418380735345493,395,0.6409380692167578
0.6,1.0,2.0,6,24,6,long_only,0.6,0.4,0.9412650879262385,2.1612190317098725,2.0237039280658524,-0.1703603518204947,324,324,0,0.4660493827160494,-0.0024028845130518793,always_long,-0.0809860819466045,-0.255994069789967,1.0222511698728431,2.4172131014998395,395,0.6409380692167578
0.0,1.5,1.0,6,48,6,short_only,0.72,0.28,-0.06395142825828193,-0.2459953750096664,-0.2093974357749692,-0.2771164529209584,251,0,251,0.5896414342629482,0.00981519999999995,always_short,-0.5842737973021908,-2.6628696320063074,0.5203223690439088,2.416874256996641,386,0.6491347905282332
0.3,1.0,2.0,6,24,6,long_only,0.63,0.37,0.879342731770264,2.1877201376131925,2.106978841745131,-0.15960699908879747,314,314,0,0.4713375796178344,-0.0016694866800355183,always_long,-0.07115378091542979,-0.22272141268850487,0.9504965126856938,2.410441550301697,395,0.6409380692167578
0.3,1.0,2.0,6,24,6,long_only,0.58,0.42,0.9477811819302921,2.1667092451477683,2.0397669145459134,-0.17532315147346916,328,328,0,0.4573170731707317,-0.0025078069625315462,always_long,-0.07115378091542979,-0.22272141268850487,1.018934962845722,2.3894306578362734,395,0.6409380692167578
0.3,1.0,2.0,6,24,6,long_only,0.76,0.24,0.8125147989454427,2.13259564992628,1.8032569552996218,-0.13354685536178854,263,263,0,0.5057034220532319,0.0003729623959414319,always_long,-0.07115378091542979,-0.22272141268850487,0.8836685798608724,2.355317062614785,395,0.6409380692167578
0.0,1.0,1.0,6,24,2,short_only,0.6799999999999999,0.32,-0.04675845152472158,-0.15078038890925274,-0.13855515595390408,-0.33258391066015186,371,0,371,0.5013477088948787,6.506618773958458e-06,always_short,-0.626968566553863,-2.5002304196119267,0.5802101150291414,2.3494500307026738,577,0.7374772313296903
0.0,2.0,2.5,6,24,2,short_only,0.63,0.37,-0.04469621739224128,-0.12970184285149047,-0.13687605447915305,-0.3191363192003479,299,0,299,0.4682274247491639,-0.0006872716399908054,always_short,-0.6413275383381569,-2.4634004503605818,0.5966313209459156,2.333698607509091,397,0.8194444444444444
0.0,1.0,2.0,6,72,6,long_only,0.63,0.37,1.8657485731348178,3.386123439405105,3.4699431820715945,-0.1484929944087347,282,282,0,0.46808510638297873,-0.010499999999999945,always_long,0.442320101705443,1.0543561390918252,1.4234284714293748,2.33176730031328,326,0.7037795992714025
0.0,2.5,2.0,6,24,6,long_only,0.58,0.42,1.1986320102605657,2.3624703467672843,2.254216794627614,-0.2000871540284126,293,293,0,0.552901023890785,0.0027610727595254714,always_long,0.012577937207547185,0.034275285659200475,1.1860540730530185,2.328195061108084,333,0.6966074681238615
