entry_atr_mult,sl_atr_mult,tp_atr_mult,min_hold,max_hold,cooldown,long_threshold,short_threshold,trade_direction,long_signal_threshold,short_signal_threshold,score,sharpe,total_ret,maxdd,win_rate,n_trades,n_long,n_short,short_ratio
0.9,1.0,3.0,18,48,3,0.58,0.53,short_only,0.08,0.03,1.0647817494565741,1.014781749456574,0.23328986898740722,-0.076131383034888,0.5,40,0,40,1.0
0.9,1.0,3.0,18,48,3,0.6,0.53,short_only,0.1,0.03,1.0647817494565741,1.014781749456574,0.23328986898740722,-0.076131383034888,0.5,40,0,40,1.0
0.9,1.0,3.0,18,48,3,0.63,0.53,short_only,0.13,0.03,1.0647817494565741,1.014781749456574,0.23328986898740722,-0.076131383034888,0.5,40,0,40,1.0
0.9,1.0,3.0,18,48,3,0.65,0.53,short_only,0.15,0.03,1.0647817494565741,1.014781749456574,0.23328986898740722,-0.076131383034888,0.5,40,0,40,1.0
0.3,1.0,3.0,18,48,3,0.58,0.53,short_only,0.08,0.03,1.0259179223896442,0.9759179223896443,0.2253394867014813,-0.07613138303488635,0.475,40,0,40,1.0
0.3,1.0,3.0,18,48,3,0.6,0.53,short_only,0.1,0.03,1.0259179223896442,0.9759179223896443,0.2253394867014813,-0.07613138303488635,0.475,40,0,40,1.0
0.3,1.0,3.0,18,48,3,0.63,0.53,short_only,0.13,0.03,1.0259179223896442,0.9759179223896443,0.2253394867014813,-0.07613138303488635,0.475,40,0,40,1.0
0.3,1.0,3.0,18,48,3,0.65,0.53,short_only,0.15,0.03,1.0259179223896442,0.9759179223896443,0.2253394867014813,-0.07613138303488635,0.475,40,0,40,1.0
0.6,1.0,3.0,18,48,3,0.58,0.53,short_only,0.08,0.03,1.0062354482591827,0.9562354482591827,0.21852948378031734,-0.0761313830348874,0.5,40,0,40,1.0
0.6,1.0,3.0,18,48,3,0.6,0.53,short_only,0.1,0.03,1.0062354482591827,0.9562354482591827,0.21852948378031734,-0.0761313830348874,0.5,40,0,40,1.0
0.6,1.0,3.0,18,48,3,0.63,0.53,short_only,0.13,0.03,1.0062354482591827,0.9562354482591827,0.21852948378031734,-0.0761313830348874,0.5,40,0,40,1.0
0.6,1.0,3.0,18,48,3,0.65,0.53,short_only,0.15,0.03,1.0062354482591827,0.9562354482591827,0.21852948378031734,-0.0761313830348874,0.5,40,0,40,1.0
0.9,1.0,2.5,18,48,3,0.58,0.53,short_only,0.08,0.03,0.9783461117747876,0.9283461117747875,0.20703876884943484,-0.07613138303488737,0.4878048780487805,41,0,41,1.0
0.9,1.0,2.5,18,48,3,0.6,0.53,short_only,0.1,0.03,0.9783461117747876,0.9283461117747875,0.20703876884943484,-0.07613138303488737,0.4878048780487805,41,0,41,1.0
0.9,1.0,2.5,18,48,3,0.63,0.53,short_only,0.13,0.03,0.9783461117747876,0.9283461117747875,0.20703876884943484,-0.07613138303488737,0.4878048780487805,41,0,41,1.0
0.9,1.0,2.5,18,48,3,0.65,0.53,short_only,0.15,0.03,0.9783461117747876,0.9283461117747875,0.20703876884943484,-0.07613138303488737,0.4878048780487805,41,0,41,1.0
0.3,1.0,2.5,18,48,3,0.58,0.53,short_only,0.08,0.03,0.9358642362613806,0.8858642362613806,0.19839107714104243,-0.07613138303488574,0.4634146341463415,41,0,41,1.0
0.3,1.0,2.5,18,48,3,0.6,0.53,short_only,0.1,0.03,0.9358642362613806,0.8858642362613806,0.19839107714104243,-0.07613138303488574,0.4634146341463415,41,0,41,1.0
0.3,1.0,2.5,18,48,3,0.63,0.53,short_only,0.13,0.03,0.9358642362613806,0.8858642362613806,0.19839107714104243,-0.07613138303488574,0.4634146341463415,41,0,41,1.0
0.3,1.0,2.5,18,48,3,0.65,0.53,short_only,0.15,0.03,0.9358642362613806,0.8858642362613806,0.19839107714104243,-0.07613138303488574,0.4634146341463415,41,0,41,1.0
0.6,1.0,2.5,18,48,3,0.58,0.53,short_only,0.08,0.03,0.9185158484013131,0.868515848401313,0.1925840814294053,-0.0761313830348866,0.4878048780487805,41,0,41,1.0
0.6,1.0,2.5,18,48,3,0.6,0.53,short_only,0.1,0.03,0.9185158484013131,0.868515848401313,0.1925840814294053,-0.0761313830348866,0.4878048780487805,41,0,41,1.0
0.6,1.0,2.5,18,48,3,0.63,0.53,short_only,0.13,0.03,0.9185158484013131,0.868515848401313,0.1925840814294053,-0.0761313830348866,0.4878048780487805,41,0,41,1.0
0.6,1.0,2.5,18,48,3,0.65,0.53,short_only,0.15,0.03,0.9185158484013131,0.868515848401313,0.1925840814294053,-0.0761313830348866,0.4878048780487805,41,0,41,1.0
0.3,1.0,3.0,18,48,2,0.58,0.53,short_only,0.08,0.03,0.867208313256374,0.817208313256374,0.1849707369423057,-0.07613138303488408,0.475,40,0,40,1.0
0.3,1.0,3.0,18,48,2,0.6,0.53,short_only,0.1,0.03,0.867208313256374,0.817208313256374,0.1849707369423057,-0.07613138303488408,0.475,40,0,40,1.0
0.3,1.0,3.0,18,48,2,0.63,0.53,short_only,0.13,0.03,0.867208313256374,0.817208313256374,0.1849707369423057,-0.07613138303488408,0.475,40,0,40,1.0
0.3,1.0,3.0,18,48,2,0.65,0.53,short_only,0.15,0.03,0.867208313256374,0.817208313256374,0.1849707369423057,-0.07613138303488408,0.475,40,0,40,1.0
0.3,1.0,2.5,18,48,2,0.58,0.53,short_only,0.08,0.03,0.847429002808607,0.797429002808607,0.17677985906689497,-0.07613138303488362,0.4634146341463415,41,0,41,1.0
0.3,1.0,2.5,18,48,2,0.6,0.53,short_only,0.1,0.03,0.847429002808607,0.797429002808607,0.17677985906689497,-0.07613138303488362,0.4634146341463415,41,0,41,1.0
0.3,1.0,2.5,18,48,2,0.63,0.53,short_only,0.13,0.03,0.847429002808607,0.797429002808607,0.17677985906689497,-0.07613138303488362,0.4634146341463415,41,0,41,1.0
0.3,1.0,2.5,18,48,2,0.65,0.53,short_only,0.15,0.03,0.847429002808607,0.797429002808607,0.17677985906689497,-0.07613138303488362,0.4634146341463415,41,0,41,1.0
0.9,1.0,3.0,18,48,2,0.58,0.53,short_only,0.08,0.03,0.8461607105063259,0.7961607105063259,0.1781324565641238,-0.07613138303488529,0.475,40,0,40,1.0
0.9,1.0,3.0,18,48,2,0.6,0.53,short_only,0.1,0.03,0.8461607105063259,0.7961607105063259,0.1781324565641238,-0.07613138303488529,0.475,40,0,40,1.0
0.9,1.0,3.0,18,48,2,0.63,0.53,short_only,0.13,0.03,0.8461607105063259,0.7961607105063259,0.1781324565641238,-0.07613138303488529,0.475,40,0,40,1.0
0.9,1.0,3.0,18,48,2,0.65,0.53,short_only,0.15,0.03,0.8461607105063259,0.7961607105063259,0.1781324565641238,-0.07613138303488529,0.475,40,0,40,1.0
0.6,1.0,3.0,18,48,2,0.58,0.53,short_only,0.08,0.03,0.8310517739964868,0.7810517739964867,0.174487604176226,-0.07613138303488506,0.475,40,0,40,1.0
0.6,1.0,3.0,18,48,2,0.6,0.53,short_only,0.1,0.03,0.8310517739964868,0.7810517739964867,0.174487604176226,-0.07613138303488506,0.475,40,0,40,1.0
0.6,1.0,3.0,18,48,2,0.63,0.53,short_only,0.13,0.03,0.8310517739964868,0.7810517739964867,0.174487604176226,-0.07613138303488506,0.475,40,0,40,1.0
0.6,1.0,3.0,18,48,2,0.65,0.53,short_only,0.15,0.03,0.8310517739964868,0.7810517739964867,0.174487604176226,-0.07613138303488506,0.475,40,0,40,1.0
0.9,1.0,2.5,18,48,2,0.58,0.53,short_only,0.08,0.03,0.829365820040686,0.779365820040686,0.17081516236856764,-0.07613138303488495,0.4634146341463415,41,0,41,1.0
0.9,1.0,2.5,18,48,2,0.6,0.53,short_only,0.1,0.03,0.829365820040686,0.779365820040686,0.17081516236856764,-0.07613138303488495,0.4634146341463415,41,0,41,1.0
0.9,1.0,2.5,18,48,2,0.63,0.53,short_only,0.13,0.03,0.829365820040686,0.779365820040686,0.17081516236856764,-0.07613138303488495,0.4634146341463415,41,0,41,1.0
0.9,1.0,2.5,18,48,2,0.65,0.53,short_only,0.15,0.03,0.829365820040686,0.779365820040686,0.17081516236856764,-0.07613138303488495,0.4634146341463415,41,0,41,1.0
0.6,1.0,2.5,18,48,2,0.58,0.53,short_only,0.08,0.03,0.8138389452252031,0.763838945225203,0.1671846452682575,-0.07613138303488468,0.4634146341463415,41,0,41,1.0
0.6,1.0,2.5,18,48,2,0.6,0.53,short_only,0.1,0.03,0.8138389452252031,0.763838945225203,0.1671846452682575,-0.07613138303488468,0.4634146341463415,41,0,41,1.0
0.6,1.0,2.5,18,48,2,0.63,0.53,short_only,0.13,0.03,0.8138389452252031,0.763838945225203,0.1671846452682575,-0.07613138303488468,0.4634146341463415,41,0,41,1.0
0.6,1.0,2.5,18,48,2,0.65,0.53,short_only,0.15,0.03,0.8138389452252031,0.763838945225203,0.1671846452682575,-0.07613138303488468,0.4634146341463415,41,0,41,1.0
0.3,1.0,2.5,18,48,12,0.58,0.53,short_only,0.08,0.03,0.7977089561618649,0.7477089561618648,0.15651434185514557,-0.09711885150679014,0.4864864864864865,37,0,37,1.0
