direction,reason,gross,net,hold
long,timeout,0.017792030768815272,0.017292030768815272,48
short,sl,-0.01791936286709809,-0.01833466286709809,11
short,sl,-0.024019960267016728,-0.024865960267016728,20
short,timeout,0.00019594014282744244,-0.00043445985717255716,48
short,tp,0.02787612150189858,0.027460821501898578,11
short,timeout,0.000704529409782334,7.412940978233435e-05,48
long,sl,-0.026491171607495645,-0.027491171607495646,35
short,timeout,0.012245293122618283,0.011614893122618285,48
long,timeout,0.007552601655387468,0.007052601655387469,48
short,sl,-0.019399100237474376,-0.020306700237474377,12
short,timeout,0.0132256000867476,0.0125952000867476,48
short,sl,-0.017919362867098085,-0.018357762867098087,8
short,tp,0.029273528558291996,0.029012228558291997,31
short,tp,0.03434544549527134,0.03440704549527134,8
short,sl,-0.022247886579781623,-0.023170886579781624,10
short,tp,0.023364028538673982,0.022948728538673982,11
long,tp,0.022527093876316823,0.022027093876316822,13
short,sl,-0.023446203012055845,-0.024276803012055845,22
short,sl,-0.029149598194535064,-0.030003298194535066,19
short,sl,-0.022986516416582125,-0.023871016416582125,15
short,timeout,0.01942900641516712,0.019298606415167122,48
short,tp,0.027404424219255454,0.027204724219255454,39
short,sl,-0.02563789032976422,-0.02645309032976422,24
long,sl,-0.024086541130411847,-0.02508654113041185,29
long,sl,-0.01808136614766454,-0.01858136614766454,19
long,sl,-0.018081366147664476,-0.018581366147664476,8
long,tp,0.03954400763312296,0.03904400763312296,8
long,tp,0.022862833690385814,0.022362833690385813,8
short,sl,-0.017919362867098068,-0.01835776286709807,8
long,sl,-0.021341015370354256,-0.022341015370354256,9
short,tp,0.034345445495271285,0.034507145495271285,21
short,tp,0.01685011389928658,0.016488713899286578,18
short,sl,-0.027975294092243818,-0.028859794092243818,15
short,timeout,0.022245599509425326,0.021615199509425326,48
short,tp,0.03144573879092391,0.03103813879092391,12
short,sl,-0.01791936286709807,-0.01808826286709807,43
short,tp,0.03434544549527119,0.034614945495271186,35
short,tp,0.027739309599405525,0.027493409599405525,33
short,sl,-0.02081921189103787,-0.02169601189103787,16
short,tp,0.03434544549527128,0.03449944549527128,20
long,sl,-0.023092313349021155,-0.024092313349021156,18
short,timeout,-0.001527719017785688,-0.0016581190177856874,48
long,tp,0.030524026016817765,0.030024026016817765,24
short,sl,-0.020819776074976162,-0.021758176074976165,8
long,tp,0.03465595178302352,0.03465595178302352,13
short,sl,-0.020690837282780348,-0.021405937282780348,37
long,tp,0.03465595178302356,0.03465595178302356,22
short,timeout,-0.011563285570155861,-0.01219368557015586,48
long,sl,-0.021354011877710972,-0.022354011877710973,23
long,tp,0.027764418429154364,0.027264418429154363,27
long,sl,-0.018081366147664417,-0.018581366147664417,44
short,sl,-0.021051486169931778,-0.02196678616993178,11
long,tp,0.030335833709228106,0.029835833709228106,12
short,timeout,-0.002237335321311845,-0.002367735321311845,48
short,timeout,0.0014534746015807947,0.000823074601580795,48
short,tp,0.022928783292097302,0.0225211832920973,12
short,tp,0.03434544549527127,0.03443784549527127,12
short,sl,-0.023849191581262558,-0.024564291581262557,37
short,tp,0.02371486749893986,0.023345767498939858,17
short,tp,0.03434544549527123,0.03453024549527123,24
short,sl,-0.02130259629954834,-0.02222559629954834,10
short,sl,-0.01791936286709815,-0.018357762867098153,8
short,sl,-0.025683371784898403,-0.026598671784898404,11
short,sl,-0.029466719360544895,-0.030174119360544895,38
short,sl,-0.017919362867098113,-0.018326962867098114,12
short,tp,0.03434544549527128,0.03443014549527128,11
short,tp,0.029721651501203986,0.029344851501203986,16
short,sl,-0.017919362867098144,-0.018350062867098144,9
short,timeout,-0.005210267436135429,-0.005840667436135429,48
short,sl,-0.026284432571007214,-0.027053432571007216,30
short,sl,-0.022576874430651102,-0.023515274430651104,8
short,timeout,0.006356454802721656,0.005726054802721656,48
short,tp,0.028155978839530967,0.027771478839530968,15
short,sl,-0.01791936286709814,-0.018357762867098143,8
short,timeout,0.0017569735018486076,0.0016265735018486079,48
short,tp,0.02111836997670531,0.02078006997670531,21
short,sl,-0.029446860568485386,-0.030354460568485387,12
short,timeout,-0.00017330347849914046,-0.0008037034784991403,48
short,sl,-0.02921042203034016,-0.029979422030340163,30
short,tp,0.030341716875951306,0.030088116875951306,32
short,tp,0.025349112427269074,0.024910712427269072,8
short,tp,0.0319324912232681,0.0317558912232681,42
short,timeout,0.018398177619994474,0.017767777619994474,48
long,tp,0.02462368798958458,0.02412368798958458,31
short,timeout,-0.012471410246082682,-0.01310181024608268,48
short,sl,-0.020441536119128672,-0.021318336119128672,16
long,sl,-0.022792361727799686,-0.023792361727799687,12
long,sl,-0.026309361647944705,-0.027309361647944706,10
long,timeout,-0.006961754278891995,-0.007961754278891994,48
long,tp,0.0346559517830236,0.0346559517830236,8
long,tp,0.02875550260750686,0.02825550260750686,9
short,sl,-0.0270623567247641,-0.0278159567247641,32
long,sl,-0.027911529362573153,-0.028911529362573154,46
long,tp,0.0309880868352307,0.030488086835230698,10
long,tp,0.03465595178302368,0.03465595178302368,15
long,sl,-0.02195674660620467,-0.02295674660620467,42
long,tp,0.03465595178302352,0.03465595178302352,34
short,sl,-0.017919362867098065,-0.018357762867098067,8
long,sl,-0.022525668348851523,-0.023525668348851524,17
long,sl,-0.022134632470139026,-0.023134632470139027,17
long,sl,-0.028613389546203693,-0.029613389546203694,11
short,tp,0.02235192861312,0.02192122861312,9
long,timeout,-0.007484911639942921,-0.008484911639942921,48
short,tp,0.03434544549527113,0.034407045495271134,8
short,timeout,-0.008241976417682324,-0.008872376417682324,48
long,timeout,0.006976341740623369,0.005976341740623369,48
long,sl,-0.02010492397966531,-0.021104923979665312,34
long,tp,0.029184122713424545,0.028684122713424545,37
short,tp,0.029321843489251383,0.02896814348925138,19
short,tp,0.029165637935843442,0.029004437935843442,44
short,tp,0.027655363151631272,0.02721696315163127,8
short,tp,0.03846248052035126,0.03863188052035126,22
short,sl,-0.020928545439686464,-0.021359245439686463,9
short,tp,0.024820328832707322,0.02438192883270732,8
short,sl,-0.03369928181431962,-0.034614581814319624,11
short,sl,-0.02295059279325405,-0.02383509279325405,15
