trade_direction,entry_atr_mult,sl_atr_mult,tp_atr_mult,min_sl,min_hold,max_hold,cooldown,long_threshold,short_threshold,signal_quantile,score,sharpe,total_ret,maxdd,win_rate,n_trades,n_long,n_short
long_only,0.3,1.5,3.0,0.01,4,48,2,0.925,0.075,0.075,2.3269662924196775,2.3297750662885464,0.5314282383027771,-0.08776533955693595,0.5333333333333333,60,60,0
long_only,0.3,2.0,3.0,0.015,8,48,3,0.95,0.05,0.05,2.325278973773663,2.35256351477823,0.5575829738045699,-0.08838158282980792,0.6,45,45,0
both,1.0,1.5,3.0,0.01,8,48,3,0.925,0.075,0.075,2.323849342040948,2.238978302277224,0.9182404406820013,-0.15074292976375495,0.5035460992907801,141,59,82
both,0.3,1.5,3.0,0.01,8,48,3,0.9,0.1,0.1,2.3218215256835606,2.2554289897502895,1.077673502318508,-0.16458475016832994,0.5149700598802395,167,72,95
both,0.3,2.5,3.0,0.01,8,48,2,0.95,0.05,0.05,2.319082290211474,2.2459361073319535,0.8716529494954244,-0.11683011168037351,0.5192307692307693,104,48,56
long_only,1.0,1.5,3.0,0.015,8,48,2,0.925,0.075,0.075,2.3181602763895275,2.3281233221047306,0.6002164846547633,-0.09343366084540583,0.5818181818181818,55,55,0
both,1.0,2.0,3.0,0.015,8,48,2,0.925,0.075,0.075,2.3133831816200634,2.2170208060925956,1.001640383384459,-0.1430645042784152,0.544,125,54,71
both,1.0,2.0,3.0,0.015,8,48,2,0.95,0.05,0.05,2.310787193522051,2.2442869343668033,0.8863500741913326,-0.13705146619067674,0.51,100,46,54
long_only,1.0,2.0,3.0,0.015,8,48,3,0.95,0.05,0.05,2.3104330366144743,2.3378937324259024,0.548186676620948,-0.08838158282980743,0.5777777777777777,45,45,0
both,0.6,2.0,3.0,0.015,8,48,2,0.95,0.05,0.05,2.3070156148322907,2.2405169581749953,0.8851510856529083,-0.13705146619067674,0.51,100,46,54
both,1.0,2.0,3.0,0.015,8,48,3,0.95,0.05,0.05,2.3048770530829503,2.241723769339528,0.8764924599577077,-0.12502606316158818,0.5204081632653061,98,45,53
both,0.6,1.5,3.0,0.01,8,48,3,0.925,0.075,0.075,2.3044553578491196,2.21959191501844,0.911080784584394,-0.15033126950081574,0.5035460992907801,141,59,82
both,0.6,2.0,3.0,0.015,8,48,3,0.95,0.05,0.05,2.3009410565591577,2.237790259068746,0.8747766245326749,-0.12502606316158826,0.5204081632653061,98,45,53
long_only,1.0,2.5,3.0,0.015,8,48,2,0.925,0.075,0.075,2.2936596095436874,2.306743276118033,0.6178331567077229,-0.10735935185750296,0.6415094339622641,53,53,0
long_only,0.3,2.0,3.0,0.015,8,48,2,0.925,0.075,0.075,2.288860125202992,2.2987174654729547,0.6086656427773414,-0.11029025967008207,0.6181818181818182,55,55,0
both,1.0,1.5,3.0,0.01,8,48,3,0.9,0.1,0.1,2.2876364363407613,2.221256197773553,1.0409649079013645,-0.1686623242573256,0.5149700598802395,167,72,95
