top_n_features,corr_threshold,num_leaves,min_child_samples,learning_rate,gv_auc,oos_auc,tr_long_threshold,tr_short_threshold,tr_entry_atr_mult,tr_sl_atr_mult,tr_tp_atr_mult,tr_min_sl,tr_min_hold,tr_max_hold,tr_cooldown,tr_sharpe,tr_total_ret,tr_maxdd,tr_win_rate,tr_n_trades
50,0.9,63,50,0.01,0.559862787895067,0.5385184176567226,0.58,0.4,0.6,1.5,2.0,0.01,4,48,3,1.0704456459428306,0.6326060857759306,-0.16292285432662149,0.5244755244755245,143
35,0.85,31,30,0.01,0.5571887285476038,0.537946483363614,0.55,0.4,0.3,2.5,2.5,0.015,4,48,3,1.052971009817305,0.9733633108058266,-0.18984858921479844,0.5187165775401069,187
50,0.9,31,30,0.01,0.5583429482376503,0.5357323798427178,0.55,0.4,0.3,2.0,2.5,0.015,4,48,2,1.0443799745265576,1.040618057964819,-0.20815473301417114,0.5422222222222223,225
35,0.85,31,50,0.02,0.5614516382575766,0.5322472626896125,0.55,0.35,0.3,2.0,2.5,0.015,8,48,3,1.013859415518742,1.2771502511067956,-0.21569130008501952,0.50814332247557,307
20,0.9,31,50,0.02,0.5596815982836646,0.5328355850674478,0.55,0.35,0.3,1.5,2.0,0.01,4,24,2,0.9911222832334876,1.076740110633689,-0.34678275383147356,0.5173824130879345,489
20,0.9,31,30,0.01,0.5596917285080938,0.5347146135524754,0.58,0.3,0.3,1.5,2.0,0.01,4,24,3,0.963383780108753,0.42070551397529976,-0.1384045997479,0.5563380281690141,142
20,0.85,63,30,0.01,0.5539446180584098,0.5344014503581804,0.55,0.4,0.3,2.5,2.5,0.015,8,48,3,0.9005324824582506,0.5656661292392118,-0.2501561595194071,0.6016260162601627,123
50,0.9,31,30,0.02,0.5627788042917323,0.5376798141379824,0.63,0.4,1.0,2.0,2.5,0.015,4,24,3,0.8990568497850151,0.5823649768132284,-0.17696280045332344,0.5422885572139303,201
35,0.9,31,30,0.01,0.5595005755775616,0.5315591040432576,0.58,0.4,0.3,2.0,2.0,0.015,4,24,3,0.8988587508261052,0.47290232320375036,-0.13848461670852102,0.5620437956204379,137
50,0.85,31,50,0.01,0.5560455385161008,0.5374132999157317,0.58,0.3,0.3,1.5,3.0,0.01,4,48,2,0.8977049526183634,0.56619573510748,-0.27941705068660233,0.43478260869565216,138
20,0.9,63,30,0.01,0.557471864843204,0.5339066936575463,0.58,0.4,1.0,1.5,2.0,0.01,4,24,2,0.8578858356311868,0.38144405017131033,-0.2253035041788811,0.5238095238095238,147
20,0.9,63,50,0.02,0.5595143823548385,0.5336429554049356,0.6,0.35,0.3,1.5,2.5,0.01,4,48,3,0.8343393356643547,0.5031892014352151,-0.14752807678581556,0.46153846153846156,156
20,0.85,31,30,0.01,0.5527517829728166,0.534675764068734,0.55,0.4,0.3,2.5,2.5,0.01,4,48,3,0.8184480447559352,0.41974981618717244,-0.1704486115362451,0.549618320610687,131
20,0.9,31,50,0.01,0.5597683334043144,0.5358415233596999,0.58,0.3,0.3,1.5,2.0,0.01,4,48,2,0.757962103328793,0.40582414276171885,-0.2634562152727891,0.4840764331210191,157
20,0.85,63,50,0.01,0.5522855098373196,0.5343188687841989,0.55,0.4,0.3,2.0,2.5,0.01,4,48,2,0.6524791843349902,0.30725398781097324,-0.24167017348290207,0.5466666666666666,150
35,0.85,31,50,0.01,0.5583491608237989,0.5366155397878601,0.55,0.4,0.6,1.5,3.0,0.01,8,24,2,0.6024333252016897,0.3621069302705817,-0.18557905609634165,0.4525862068965517,232
20,0.9,63,50,0.01,0.5608527959516786,0.5321333563414716,0.58,0.4,0.3,1.5,2.5,0.01,8,48,2,0.566876708373484,0.34085232569804647,-0.1860817428951166,0.45255474452554745,137
35,0.85,63,30,0.01,0.5594756649616085,0.5385077435602648,0.55,0.4,0.3,1.5,3.0,0.01,8,24,2,0.5531698600331116,0.3755078563479728,-0.2256932860640175,0.463768115942029,276
