,chop,bull,bear
lgbm,0.28035417861466877,0.4401098275306776,0.0012334077492128783
mamba,0.0,0.0,0.194342746929325
tcn,0.34551572644359063,0.24610237668834029,0.1770147588597498
patch,0.0,0.0,0.35273723289138764
trend,0.08949324659938332,0.0,0.13690185400823413
meanrev,0.11449368001844877,0.03590742418350435,0.04112374723374148
volbreak,0.018985211771540344,0.06216980867472245,0.0
crossasset,0.15115795655236808,0.21571056292275534,0.09664625232834918
