name,ret,sharpe,sortino,maxdd,alpha
Naive EW fund,0.4595261076009238,1.6585025556548922,2.163509405497835,-0.08773976860815245,0.290194136558223
patch,0.7487357233558536,1.6235320670776812,0.9528676033813068,-0.16430388984924038,0.5794037523131528
lgbm,0.921142808317384,1.5483812758263296,0.8652806693547536,-0.12629591892339728,0.7518108372746832
crossasset,0.6917562150165546,0.7253122072120484,0.7807388664022464,-0.23585552449608815,0.5224242439738538
trend,0.8030546183403231,0.7206955652632557,0.8801640914676311,-0.2832580644965864,0.6337226472976223
mamba,0.40607897369825063,0.6417933274390756,0.5635947121903484,-0.37570161867398943,0.23674700265554982
volbreak,0.3818411228402441,0.48796825987885567,0.48145454124938364,-0.22541780462656386,0.21250915179754326
tcn,0.1803289536263626,0.2954888431564394,0.2713213323569374,-0.2084460524346757,0.010996982583661774
Coordinator (MAS),0.10889487441827161,0.2626203236739352,0.31585225672303663,-0.23799115339292656,-0.0604370966244292
BTC Buy & Hold,0.16933197104269437,0.17044454079765725,0.21859535672214958,-0.5008379402841711,-6.439293542825908e-15
meanrev,-0.02546972295764005,-0.03032978388762512,-0.03569079337321512,-0.32330269481147417,-0.19480169400034086
