open_time,lgbm,mamba,tcn,patch,trend,meanrev,volbreak,crossasset
2024-06-01 00:00:00,0.049118784625164454,0.0015187674606289483,0.27210271740333264,0.0005069192641850378,0.0015403446756285335,0.03272064882897552,0.000687030560861888,0.6418047871812229
2024-06-01 01:00:00,0.0456149775516556,0.0014507644327293064,0.29096476822929546,0.0004707590188307689,0.0015615445096362668,0.02779067961576957,0.0006380223747425724,0.6315084842673404
2024-06-01 02:00:00,0.0417026734842618,0.0012145561358655502,0.2889805432385656,0.0004303829730013418,0.0014113964443794116,0.025739411656485328,0.0006698023072798319,0.6398512337601611
2024-06-01 03:00:00,0.04126272182243858,0.001131020064953974,0.27875116267710626,0.00042584255176758524,0.0013285967908935297,0.02680381654752094,0.0006520612760223411,0.6496447782692968
2024-06-01 04:00:00,0.04089501609129448,0.001046301120220682,0.26682223011894085,0.00042204772825778903,0.0012404281357581309,0.028236486332245837,0.0006320287401322777,0.6607054617331499
2024-06-01 05:00:00,0.03821070204386456,0.0009598933120042866,0.2746502114444609,0.00039434487461129206,0.0012035047504239547,0.025407474442922625,0.0006272157763722234,0.6585466533553402
2024-06-01 06:00:00,0.03580494696563281,0.0009101354711075736,0.28792795277897665,0.0003695168255589165,0.001201634234627442,0.022340461522933446,0.0006300842067588303,0.6508152679944044
2024-06-01 07:00:00,0.03934235354984816,0.001131876063766211,0.2973709047375148,0.0004060238270345815,0.0013781602740583054,0.02345793276408184,0.0006652929241986248,0.6362474558594975
2024-06-01 08:00:00,0.04001269387039276,0.0012725919837627245,0.31538249202927165,0.00041294192211036935,0.001521587405570463,0.02191952010228535,0.0006946991339340542,0.6187834735526728
2024-06-01 09:00:00,0.0397353004201522,0.0012114485380607131,0.3078897547714766,0.0004100791459900162,0.00145990798266905,0.022552876929871957,0.0006824167719717292,0.6260582154398077
2024-06-01 10:00:00,0.039834835972888914,0.0011867408259410926,0.3027192389467725,0.00041110638006224714,0.0014288399194410752,0.023171674633557838,0.0006757059983347997,0.6305718573230015
2024-06-01 11:00:00,0.03801100651236435,0.001045775566788098,0.29472919747094184,0.0003922839622197981,0.0013125824116507088,0.023001572960912396,0.0006530155068378605,0.6408545656082849
2024-06-01 12:00:00,0.03764953206205435,0.0010899179580372966,0.30684462737763674,0.0003885534472290229,0.0013721641741523088,0.021515826565849945,0.0006673613980619339,0.6304720170169785
2024-06-01 13:00:00,0.03423748653392664,0.0008717558936269702,0.2972597183306879,0.0003533402060691789,0.0012883895461235158,0.0205292124743196,0.0006313911730642508,0.644828705842182
2024-06-01 14:00:00,0.030613176635981093,0.0006385940765408792,0.2771263817503534,0.00031593633867576924,0.0011766973237803337,0.020148829459152588,0.0005916670537963253,0.6693887173617196
2024-06-01 15:00:00,0.03259374239925298,0.0007578285596997893,0.28799095011933856,0.00033637631794336504,0.0012372941475225305,0.021719839281930962,0.0006299458487067376,0.654734023325605
