scheme,label,oos_auc,n_trades,trades_per_day,win_rate_pct,ev_per_trade_pct,total_return_pct,max_dd_pct
expanding,Expanding (all history),0.5749611701084045,0,0.0,,,,
long_2yr,2-Year Sliding,0.5621726395778774,35,0.06352087114337568,65.71428571428571,0.48324138732143823,16.913448556250337,-11.056128920811972
medium_1yr,1-Year Sliding,0.5522408330087489,117,0.1453416149068323,61.53846153846154,0.4611634206669381,53.95612021803176,-15.245184533154777
short_3mo,3-Month Sliding,0.529225230649961,586,0.6712485681557846,57.33788395904437,0.13862033866631948,81.23151845846321,-28.752635910272
