entry_atr_mult,sl_atr_mult,tp_atr_mult,min_hold,max_hold,cooldown,min_sl,long_threshold,short_threshold,signal_threshold,ret,sharpe,maxdd,active_bars
0.0,1.5,3.0,12,24,3,0.01,0.7,0.3,0.2,0.34239597239839514,0.42475844078400005,-0.20373177896951658,4522
0.6,1.5,3.0,12,24,3,0.01,0.7,0.3,0.2,0.3305236196290906,0.4218257324076339,-0.18635792114376162,4522
0.0,1.5,3.0,12,24,3,0.01,0.6,0.4,0.1,0.6300968010241466,0.41281681655452557,-0.29337107538869867,16324
0.0,1.5,3.0,12,24,3,0.01,0.55,0.45,0.05,0.6300968010241466,0.41281681655452557,-0.29337107538869867,16324
0.0,1.5,3.0,12,24,3,0.01,0.65,0.35,0.15,0.6300968010241466,0.41281681655452557,-0.29337107538869867,16324
0.3,1.5,3.0,12,24,3,0.01,0.7,0.3,0.2,0.30759323460133303,0.3930408868065376,-0.21270369739156553,4522
0.3,1.5,3.0,12,24,3,0.01,0.6,0.4,0.1,0.5748293719987385,0.3874577462864486,-0.29038001076391934,16324
0.3,1.5,3.0,12,24,3,0.01,0.65,0.35,0.15,0.5748293719987385,0.3874577462864486,-0.29038001076391934,16324
0.3,1.5,3.0,12,24,3,0.01,0.55,0.45,0.05,0.5748293719987385,0.3874577462864486,-0.29038001076391934,16324
0.0,1.5,2.0,12,24,3,0.01,0.7,0.3,0.2,0.23523497755388245,0.3094860567616158,-0.1992595112776757,4357
0.6,1.5,3.0,12,24,3,0.01,0.6,0.4,0.1,0.329420481434719,0.24375505935159872,-0.3262663831782986,16324
0.6,1.5,3.0,12,24,3,0.01,0.55,0.45,0.05,0.329420481434719,0.24375505935159872,-0.3262663831782986,16324
0.6,1.5,3.0,12,24,3,0.01,0.65,0.35,0.15,0.329420481434719,0.24375505935159872,-0.3262663831782986,16324
0.3,1.5,2.0,12,24,3,0.01,0.7,0.3,0.2,0.16957934684281573,0.2337975486414422,-0.20142316188483927,4357
0.6,1.5,2.0,12,24,3,0.01,0.7,0.3,0.2,0.1552787676948746,0.21657877585286614,-0.18746358283622958,4357
0.0,1.5,2.0,12,48,3,0.01,0.55,0.45,0.05,0.28102710410500076,0.206426278669849,-0.44589105307842697,16927
0.0,1.5,2.0,12,48,3,0.01,0.6,0.4,0.1,0.28102710410500076,0.206426278669849,-0.44589105307842697,16927
0.0,1.5,2.0,12,48,3,0.01,0.65,0.35,0.15,0.28102710410500076,0.206426278669849,-0.44589105307842697,16927
0.3,1.5,2.0,12,48,3,0.01,0.65,0.35,0.15,0.15047399939145123,0.11836906434719069,-0.4504421700218726,16927
0.3,1.5,2.0,12,48,3,0.01,0.6,0.4,0.1,0.15047399939145123,0.11836906434719069,-0.4504421700218726,16927
0.3,1.5,2.0,12,48,3,0.01,0.55,0.45,0.05,0.15047399939145123,0.11836906434719069,-0.4504421700218726,16927
0.6,1.5,2.0,12,48,3,0.01,0.65,0.35,0.15,-0.003721850218034617,-0.003163567989195347,-0.44864488049568096,16927
0.6,1.5,2.0,12,48,3,0.01,0.55,0.45,0.05,-0.003721850218034617,-0.003163567989195347,-0.44864488049568096,16927
0.6,1.5,2.0,12,48,3,0.01,0.6,0.4,0.1,-0.003721850218034617,-0.003163567989195347,-0.44864488049568096,16927
0.0,1.5,3.0,12,48,3,0.01,0.55,0.45,0.05,-0.015640324682664408,-0.013324192343474468,-0.4504046440753785,17392
0.0,1.5,3.0,12,48,3,0.01,0.65,0.35,0.15,-0.015640324682664408,-0.013324192343474468,-0.4504046440753785,17392
0.0,1.5,3.0,12,48,3,0.01,0.6,0.4,0.1,-0.015640324682664408,-0.013324192343474468,-0.4504046440753785,17392
0.0,1.5,3.0,12,48,3,0.01,0.7,0.3,0.2,-0.009824117095732277,-0.014301269020708598,-0.20832365884640583,5011
0.0,1.5,2.0,12,48,3,0.01,0.7,0.3,0.2,-0.022027763961947944,-0.03238751825365662,-0.27299890507568836,4656
0.3,2.5,2.0,4,48,3,0.01,0.7,0.3,0.2,-0.032717975652475695,-0.05504001396670678,-0.3072543245246878,4862
0.0,2.5,2.0,4,48,3,0.01,0.7,0.3,0.2,-0.04029791891489598,-0.06650335435310963,-0.3527379027020328,4862
0.3,1.5,3.0,12,48,3,0.01,0.65,0.35,0.15,-0.08621212564264569,-0.07708652166777774,-0.4655219914512404,17392
